23:01:54.395 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking with invalid id **************
23:01:54.402 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking ids with invalid date filter **************
23:01:54.570 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking ids with invalid date filter **************
23:01:54.574 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with name filters **************
23:01:54.725 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Bookings with name filters are displayed **************
23:01:54.729 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:01:54.890 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:01:55.049 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:01:55.201 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:01:55.355 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating non existing booking **************
23:01:55.501 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating non existing booking **************
23:01:55.504 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Updating booking **************
23:01:55.833 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:01:55.836 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating booking with invalid data **************
23:01:56.274 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating booking with invalid data **************
23:01:56.276 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Partially updating booking **************
23:01:56.572 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is updated **************
23:01:56.579 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating non existing booking **************
23:01:56.749 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating non existing booking **************
23:01:56.754 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Deleting booking **************
23:01:57.043 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is deleted **************
23:01:57.047 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Partially updating booking with invalid data **************
23:01:57.411 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished partially updating booking with invalid data **************
23:01:57.413 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Deleting non existing booking **************
23:01:57.552 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished deleting non existing booking **************
23:05:34.460 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check **************
23:05:34.617 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check is done **************
23:05:34.631 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Creating Booking **************
23:05:35.044 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is created **************
23:05:35.209 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating Booking with missing fields **************
23:05:35.359 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with missing fields **************
23:05:35.364 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating booking with invalid fields **************
23:05:35.512 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with invalid fields **************
23:05:35.516 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking **************
23:05:35.659 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is displayed **************
23:05:35.664 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting all bookings **************
23:05:35.930 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** All bookings are displayed **************
23:05:35.935 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking with invalid id **************
23:05:36.075 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking with invalid id **************
23:05:36.083 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking ids with invalid date filter **************
23:05:36.229 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking ids with invalid date filter **************
23:05:36.234 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with name filters **************
23:05:36.381 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Bookings with name filters are displayed **************
23:05:36.385 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
23:05:36.541 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
